MD5,Tactic_ID,Mitre_ID,Tactic,Hash,DATE
9722bc9e0efb4214116066d1ff14094c,TA0002,T1129,Execution,e088c3a0b0f466df5329d9a66ff618de3d468d8a5981715303babb1452631eef,2018-06-14
c68578c2f554dd4035d61a0bf31b50cb,TA0007,T1124,Discovery,7429a6b6e8518a1ec1d1c37a8786359885f2fd4abde560adaef331ca9deaeefd,2018-06-14
c68578c2f554dd4035d61a0bf31b50cb,TA0007,T1497,Discovery,7429a6b6e8518a1ec1d1c37a8786359885f2fd4abde560adaef331ca9deaeefd,2018-06-14
c68578c2f554dd4035d61a0bf31b50cb,TA0007,T1082,Discovery,7429a6b6e8518a1ec1d1c37a8786359885f2fd4abde560adaef331ca9deaeefd,2018-06-14
c68578c2f554dd4035d61a0bf31b50cb,TA0011,T1573,Command and Control,7429a6b6e8518a1ec1d1c37a8786359885f2fd4abde560adaef331ca9deaeefd,2018-06-14
c68578c2f554dd4035d61a0bf31b50cb,TA0011,T1071,Command and Control,7429a6b6e8518a1ec1d1c37a8786359885f2fd4abde560adaef331ca9deaeefd,2018-06-14
c68578c2f554dd4035d61a0bf31b50cb,TA0005,T1497,Discovery,7429a6b6e8518a1ec1d1c37a8786359885f2fd4abde560adaef331ca9deaeefd,2018-06-14
23e27e5482e3f55bf828dab885569033,TA0007,T1083,Discovery,05feed9762bc46b47a7dc5c469add9f163c16df4ddaafe81983a628da5714461,2019-10-31
23e27e5482e3f55bf828dab885569033,TA0007,T1082,Discovery,05feed9762bc46b47a7dc5c469add9f163c16df4ddaafe81983a628da5714461,2019-10-31
23e27e5482e3f55bf828dab885569033,TA0007,T1016,Discovery,05feed9762bc46b47a7dc5c469add9f163c16df4ddaafe81983a628da5714461,2019-10-31
23e27e5482e3f55bf828dab885569033,TA0002,T1129,Execution,05feed9762bc46b47a7dc5c469add9f163c16df4ddaafe81983a628da5714461,2019-10-31
23e27e5482e3f55bf828dab885569033,TA0002,T1059,Execution,05feed9762bc46b47a7dc5c469add9f163c16df4ddaafe81983a628da5714461,2019-10-31
23e27e5482e3f55bf828dab885569033,TA0005,T1027,Defense Evasion,05feed9762bc46b47a7dc5c469add9f163c16df4ddaafe81983a628da5714461,2019-10-31
34e56056e5741f33d823859e77235ed9,TA0001,T1091,Lateral Movement,0608e411348905145a267a9beaf5cd3527f11f95c4afde4c45998f066f418571,2019-10-31
34e56056e5741f33d823859e77235ed9,TA0008,T1091,Lateral Movement,0608e411348905145a267a9beaf5cd3527f11f95c4afde4c45998f066f418571,2019-10-31
34e56056e5741f33d823859e77235ed9,TA0007,T1497.001,Discovery,0608e411348905145a267a9beaf5cd3527f11f95c4afde4c45998f066f418571,2019-10-31
34e56056e5741f33d823859e77235ed9,TA0007,T1124,Discovery,0608e411348905145a267a9beaf5cd3527f11f95c4afde4c45998f066f418571,2019-10-31
34e56056e5741f33d823859e77235ed9,TA0007,T1033,Discovery,0608e411348905145a267a9beaf5cd3527f11f95c4afde4c45998f066f418571,2019-10-31
34e56056e5741f33d823859e77235ed9,TA0007,T1087.001,Discovery,0608e411348905145a267a9beaf5cd3527f11f95c4afde4c45998f066f418571,2019-10-31
34e56056e5741f33d823859e77235ed9,TA0007,T1016,Discovery,0608e411348905145a267a9beaf5cd3527f11f95c4afde4c45998f066f418571,2019-10-31
34e56056e5741f33d823859e77235ed9,TA0007,T1497,Discovery,0608e411348905145a267a9beaf5cd3527f11f95c4afde4c45998f066f418571,2019-10-31
34e56056e5741f33d823859e77235ed9,TA0007,T1518.001,Discovery,0608e411348905145a267a9beaf5cd3527f11f95c4afde4c45998f066f418571,2019-10-31
34e56056e5741f33d823859e77235ed9,TA0007,T1120,Discovery,0608e411348905145a267a9beaf5cd3527f11f95c4afde4c45998f066f418571,2019-10-31
34e56056e5741f33d823859e77235ed9,TA0007,T1082,Discovery,0608e411348905145a267a9beaf5cd3527f11f95c4afde4c45998f066f418571,2019-10-31
34e56056e5741f33d823859e77235ed9,TA0011,T1071,Command and Control,0608e411348905145a267a9beaf5cd3527f11f95c4afde4c45998f066f418571,2019-10-31
34e56056e5741f33d823859e77235ed9,TA0011,T1573,Command and Control,0608e411348905145a267a9beaf5cd3527f11f95c4afde4c45998f066f418571,2019-10-31
34e56056e5741f33d823859e77235ed9,TA0005,T1497.001,Discovery,0608e411348905145a267a9beaf5cd3527f11f95c4afde4c45998f066f418571,2019-10-31
34e56056e5741f33d823859e77235ed9,TA0005,T1497,Discovery,0608e411348905145a267a9beaf5cd3527f11f95c4afde4c45998f066f418571,2019-10-31
34e56056e5741f33d823859e77235ed9,TA0005,T1027,Defense Evasion,0608e411348905145a267a9beaf5cd3527f11f95c4afde4c45998f066f418571,2019-10-31
34e56056e5741f33d823859e77235ed9,TA0005,T1027.005,Defense Evasion,0608e411348905145a267a9beaf5cd3527f11f95c4afde4c45998f066f418571,2019-10-31
34e56056e5741f33d823859e77235ed9,TA0009,T1005,Collection,0608e411348905145a267a9beaf5cd3527f11f95c4afde4c45998f066f418571,2019-10-31
34e56056e5741f33d823859e77235ed9,TA0002,T1129,Execution,0608e411348905145a267a9beaf5cd3527f11f95c4afde4c45998f066f418571,2019-10-31
170a55f7c0448f1741e60b01dcec9cfb,TA0008,T1091,Lateral Movement,084b21bc32ee19af98f85aee8204a148032ce7eabef668481b919195dd62b319,2019-10-31
170a55f7c0448f1741e60b01dcec9cfb,TA0001,T1091,Lateral Movement,084b21bc32ee19af98f85aee8204a148032ce7eabef668481b919195dd62b319,2019-10-31
170a55f7c0448f1741e60b01dcec9cfb,TA0007,T1497.001,Discovery,084b21bc32ee19af98f85aee8204a148032ce7eabef668481b919195dd62b319,2019-10-31
170a55f7c0448f1741e60b01dcec9cfb,TA0007,T1124,Discovery,084b21bc32ee19af98f85aee8204a148032ce7eabef668481b919195dd62b319,2019-10-31
170a55f7c0448f1741e60b01dcec9cfb,TA0007,T1033,Discovery,084b21bc32ee19af98f85aee8204a148032ce7eabef668481b919195dd62b319,2019-10-31
170a55f7c0448f1741e60b01dcec9cfb,TA0007,T1087.001,Discovery,084b21bc32ee19af98f85aee8204a148032ce7eabef668481b919195dd62b319,2019-10-31
170a55f7c0448f1741e60b01dcec9cfb,TA0007,T1016,Discovery,084b21bc32ee19af98f85aee8204a148032ce7eabef668481b919195dd62b319,2019-10-31
170a55f7c0448f1741e60b01dcec9cfb,TA0007,T1497,Discovery,084b21bc32ee19af98f85aee8204a148032ce7eabef668481b919195dd62b319,2019-10-31
170a55f7c0448f1741e60b01dcec9cfb,TA0007,T1518.001,Discovery,084b21bc32ee19af98f85aee8204a148032ce7eabef668481b919195dd62b319,2019-10-31
